t,mem_avail_mib,mem_free_mib,cached_mib,anon_mib,swap_used_mib,pswpout,pswpin,vllm_anon_mib,vllm_file_mib,vllm_swap_mib,vllm_procs,gpu0,gpu1,gpu2,gpu3,gpu4
06:21:06,27745,15724,11718,1874,5483,233867622,153614262,8,7,0,1,0,0,0,0,0
06:21:07,27499,15234,11964,2114,5483,233867622,153618272,233,247,0,1,0,0,0,0,0
06:21:08,27413,15119,11995,2207,5475,233867622,153618979,312,297,0,1,0,0,0,0,0
06:21:09,27330,15015,12015,2275,5475,233867622,153619162,375,309,0,1,0,0,0,0,0
06:21:10,27294,14941,12052,2321,5474,233867622,153619247,389,310,0,1,0,0,0,0,0
06:21:11,27241,14826,12110,2388,5474,233867622,153619706,433,335,0,1,0,0,0,0,0
06:21:12,27192,14755,12132,2420,5473,233867622,153620172,469,338,0,1,0,0,0,0,0
06:21:14,27132,14662,12164,2483,5473,233867622,153620175,532,355,0,1,0,0,0,0,0
06:21:15,27014,14525,12183,2556,5473,233867622,153620280,621,356,0,1,0,0,0,0,0
06:21:16,26658,14168,12184,2787,5473,233867622,153620285,841,361,0,1,3,4,3,4,4
06:21:17,26431,13941,12184,3001,5473,233867622,153620301,1066,361,0,1,3,4,3,4,4
06:21:18,26372,13882,12184,3054,5473,233867622,153620314,1133,361,0,1,3,4,3,4,4
06:21:19,26035,13542,12182,3395,5473,233867622,153620331,1193,362,0,1,3,4,3,4,4
06:21:20,25955,13462,12182,3484,5473,233867622,153620336,1193,355,0,1,3,4,3,4,4
06:21:21,25910,13415,12182,3553,5473,233867622,153620342,1193,351,0,1,3,4,3,4,4
06:21:22,25875,13377,12182,3600,5473,233867622,153620358,1193,351,0,1,3,4,3,4,4
06:21:23,25806,13306,12182,3658,5473,233867622,153620361,1193,351,0,1,3,4,3,4,4
06:21:24,25779,13279,12182,3687,5473,233867622,153620366,1193,351,0,1,3,4,3,4,4
06:21:26,24721,12219,12184,4736,5473,233867622,153620372,1756,699,0,2,3,4,3,4,4
06:21:27,24354,11852,12184,5123,5473,233867622,153620412,1756,699,0,2,3,4,3,4,4
06:21:28,24190,11686,12186,5269,5473,233867622,153620822,1756,699,0,2,3,4,3,4,4
06:21:29,23990,11486,12186,5492,5473,233867622,153620853,1756,699,0,2,3,4,3,4,4
06:21:30,23689,11181,12190,5757,5473,233867622,153620959,1756,699,0,2,3,4,3,4,4
06:21:31,23477,10968,12191,5950,5473,233867622,153621016,1756,699,0,2,3,4,3,4,4
06:21:32,23081,10428,12334,6243,5473,233867622,153621064,1756,699,0,2,3,4,3,4,4
06:21:33,22104,9309,12506,7052,5473,233867622,153621112,5089,2837,0,6,3,312,167,312,4
06:21:34,21177,8291,12621,7876,5473,233867622,153621158,5956,3093,0,6,239,454,239,454,4
06:21:35,20463,7505,12734,8287,5473,233867622,153621208,6089,3700,0,6,993,1212,993,1212,4
06:21:37,19118,6062,12831,9578,5473,233867622,153621319,7255,3786,0,6,20047,20242,20047,20242,4
06:21:38,18842,5729,12889,9763,5473,233867622,153621356,7380,3787,0,6,20047,20242,20047,20242,4
06:21:39,18895,4910,13760,9556,5473,233867622,153621500,7148,6566,0,6,20047,20242,20047,20242,4
06:21:40,19139,4587,14343,9631,5473,233867622,153621800,7149,9678,0,6,20047,20242,20047,20242,4
06:21:41,19110,4764,14140,9692,5473,233868273,153622597,7149,12395,0,6,20047,20242,20047,20242,4
06:21:42,19082,4434,14448,9734,5473,233868407,153622782,7162,5332,0,6,20047,20242,20047,20242,4
06:21:43,18934,5531,13215,9778,5473,233869446,153622795,7163,8440,0,6,20239,20242,20047,20242,4
06:21:44,18933,7499,11271,9785,5473,233869485,153622812,7164,11232,0,6,20239,20242,20047,20242,4
06:21:46,18931,9460,9324,9794,5473,233869485,153622822,7165,13302,0,6,20239,20242,20047,20242,4
06:21:47,18944,8950,9850,9774,5473,233874054,153622985,7165,15131,0,6,20239,20242,20047,20242,4
06:21:48,18988,8204,10640,9726,5474,233879318,153623063,7166,16302,0,6,20239,20242,20047,20242,4
06:21:49,18988,8141,10706,9707,5497,233886732,153623236,7167,17838,0,6,20239,20242,20047,20242,4
06:21:50,18958,7953,10864,9741,5500,233888224,153623420,7168,19484,0,6,20239,20242,20047,20242,4
06:21:51,18981,7801,11039,9729,5500,233888866,153623482,7169,22883,0,6,20239,20242,20047,20242,4
06:21:52,18963,8113,10722,9731,5502,233890527,153623829,7170,24583,0,6,20239,20242,20047,20242,4
06:21:54,18963,7369,11464,9757,5503,233890942,153623903,7175,2513,0,6,20239,20242,20047,20242,4
06:21:55,19016,6688,12198,9735,5518,233896574,153624083,7157,5450,19,6,20239,20242,20047,20242,4
06:21:56,19270,6449,12692,9476,5801,233968733,153624878,6885,6362,291,6,20239,20242,20047,20242,4
