t,mem_avail_mib,mem_free_mib,cached_mib,anon_mib,swap_used_mib,pswpout,pswpin,vllm_anon_mib,vllm_file_mib,vllm_swap_mib,vllm_procs,gpu0,gpu1,gpu2,gpu3,gpu4
17:46:49,7268,446,23667,4075,16751,204238603,135114831,393,2516,7333,6,40397,26240,40397,26240,9660
17:46:50,7255,448,23647,4085,16739,204239346,135118558,399,2668,7328,6,40397,26240,40397,26240,9660
17:46:51,7260,245,23857,4085,16733,204242646,135122849,406,2862,7321,6,40397,26240,40397,26240,9660
17:46:53,7419,255,24022,3928,16854,204276923,135127151,323,2967,7404,6,40397,26240,40397,26240,9660
17:46:56,7881,215,24524,3447,17334,204404804,135133908,337,3130,7390,6,40397,26240,40397,26240,9660
17:46:58,8402,303,24957,2940,17843,204544543,135142713,318,3240,7410,6,40397,26240,40397,26240,9660
17:47:00,8768,516,25094,2576,18161,204637873,135153839,344,1124,7385,6,40397,26240,40397,26240,9660
17:47:01,8761,485,25118,2599,18138,204637873,135159946,350,1313,7379,6,40397,26240,40397,26240,9660
17:47:02,8716,464,25095,2640,18111,204637884,135166958,356,1520,7373,6,40397,26240,40397,26240,9660
17:47:03,8679,553,24971,2667,18083,204638082,135174944,365,1718,7365,6,40397,26240,40397,26240,9660
17:47:04,8644,513,24971,2704,18046,204638644,135183797,374,1926,7356,6,40397,26240,40397,26240,9660
17:47:06,8592,490,24943,2728,18026,204638657,135188887,385,2126,7346,6,40397,26240,40397,26240,9660
17:47:07,8589,479,24951,2746,18010,204639540,135192910,395,2336,7336,6,40397,26240,40397,26240,9660
17:47:08,8547,417,24970,2779,17996,204639700,135195758,404,2538,7327,6,40397,26240,40397,26240,9660
17:47:09,8827,231,25468,2501,18256,204718142,135199616,370,2743,7362,6,40397,26240,40397,26240,9660
17:47:12,9199,368,25672,2147,18618,204811157,135209701,371,2960,7361,6,40397,26240,40397,26240,9660
17:47:13,9134,371,25604,2201,18593,204812259,135213928,380,3172,7352,6,40397,26240,40397,26240,9660
17:47:14,8984,380,25624,2218,18639,204832555,135224689,558,1165,7395,6,40397,26240,40397,26240,9660
17:47:17,8726,2980,22591,2627,18693,204859749,135241696,945,2736,7379,6,40397,26240,40397,26240,9660
17:47:18,8003,2631,22215,3317,18662,204866228,135249348,873,3356,7358,6,40397,26240,40397,26240,9660
17:47:19,9181,3000,23023,2138,18632,204866228,135256978,386,3566,7347,6,40397,26240,40397,26240,9660
17:47:20,9087,2059,23869,2177,18598,204866228,135265405,391,3755,7342,6,40397,26240,40397,26240,9660
17:47:21,9084,1169,24755,2210,18571,204866228,135272607,395,3864,7338,6,40397,26240,40397,26240,9660
17:47:22,8891,341,25389,2424,18470,204866228,135297063,430,1133,7303,6,40397,26240,40397,26240,9660
17:47:24,8951,386,25403,2404,18450,204868816,135301755,442,981,7292,6,40397,26240,40397,26240,9660
17:47:25,8861,1242,24457,2482,18361,204872337,135328050,536,1317,7197,6,40397,26240,40397,26240,9660
17:47:26,8718,1937,23619,2618,18250,204874709,135366182,649,1669,7084,6,40397,26240,40397,26240,9660
17:47:27,8766,1874,23730,2561,18297,204901611,135386448,641,1996,7092,6,40397,26240,40397,26240,9660
17:47:28,8709,1755,23792,2598,18247,204906955,135405799,710,2344,7023,6,40397,26240,40397,26240,9660
17:47:29,8741,1790,23791,2560,18274,204929685,135426173,788,2687,6946,6,40397,26240,40397,26240,9660
17:47:30,8633,1852,23621,2636,18198,204932980,135449782,878,3060,6855,6,40397,26240,40397,26240,9660
17:47:31,8642,2985,22495,2677,18152,204939595,135470322,955,3406,6778,6,40397,26240,40397,26240,9660
17:47:33,8536,4360,21014,2800,18031,204944515,135491138,1014,3733,6719,6,40257,26240,38671,26240,9660
17:47:34,8491,5069,20261,2811,18011,204946200,135498341,1039,4101,6696,6,38325,26240,38325,26240,9660
17:47:35,8509,4960,20388,2811,18006,204957887,135511427,1034,4446,6701,6,38325,26240,38325,26240,9660
17:47:36,8448,4626,20659,2819,17994,204957887,135514761,1034,4819,6701,6,38325,26240,38325,26240,9660
17:47:37,8437,4322,20952,2884,17987,204960550,135518458,1034,5176,6701,6,38325,26240,38325,26240,9660
17:47:38,8469,4338,20968,2847,18025,204972402,135520354,1026,5448,6710,6,38325,26240,38325,26240,9660
17:47:39,8448,4307,20982,2862,18015,204972458,135523232,1034,985,6701,6,38325,28280,38325,28296,9660
17:47:40,8279,4106,21014,2967,17918,204972458,135555001,1129,993,6607,6,38325,28776,38325,28776,9660
17:47:42,8097,3860,21077,3076,17809,204972458,135591880,1228,993,6507,6,38325,28776,38325,28776,9660
17:47:43,7885,3647,21079,3221,17673,204972458,135632234,1349,993,6386,6,38325,28776,38325,28776,9660
17:47:44,7736,3475,21102,3338,17560,204972458,135669669,1460,993,6275,6,38325,28776,38325,28776,9660
17:47:45,7567,3302,21106,3480,17403,204972458,135705478,1617,993,6119,6,38325,28776,38325,28776,9660
17:47:46,7448,3182,21108,3680,17204,204972458,135740421,1810,995,5926,6,38325,28776,38325,28776,9660
17:47:47,7310,3001,21149,3814,17051,204972458,135779466,1929,996,5806,6,38325,24682,38325,24940,9660
17:47:48,7239,2846,21234,3961,17008,204972458,135791125,2109,1046,5760,6,38325,24566,38325,24566,9660
17:47:49,6826,2184,21480,4365,16937,204972458,135809993,2461,1089,5719,6,38325,24566,38325,24566,9660
17:47:50,6941,2007,21772,4333,17011,204993250,135811652,2421,1094,5795,6,38325,24566,38325,24566,9660
17:47:51,6921,1923,21833,4346,17001,204993250,135815021,2429,1121,5789,6,38325,24566,38325,24566,9660
17:47:53,6596,1634,21792,4672,16980,204993291,135819493,2705,1127,5785,6,38325,24606,38325,24606,9660
