zeit,worker_pid,gelesen_mib,major_faults,cached_mib,modellzustand
18:35:27,1852073,22782,300076,17563,ready
18:35:32,1852073,22782,300076,17563,ready
18:35:37,1852073,22782,300076,17562,ready
18:35:42,1852073,22782,300076,17562,ready
18:35:47,1852073,22782,300076,17563,ready
18:35:52,1852073,22782,300076,17563,ready
18:35:57,1852073,22782,300076,17563,ready
18:36:02,1852073,22782,300076,17564,ready
18:36:07,1852073,22782,300076,17564,ready
18:36:12,1852073,22782,300076,17564,ready
18:36:17,1852073,22782,300076,17567,ready
18:36:22,1852073,22782,300076,17567,ready
18:36:27,1852073,22782,300076,17561,ready
18:36:32,1852073,22782,300076,17561,ready
18:36:37,1852073,22782,300076,17563,ready
18:36:42,1852073,22782,300076,17564,ready
18:36:47,1852073,22782,300076,17564,ready
18:36:52,1852073,22782,300076,17564,ready
18:36:57,1852073,22782,300076,17564,ready
18:37:02,1852073,22782,300076,17564,ready
18:37:07,1852073,22782,300076,17564,ready
18:37:12,1852073,22782,300076,17564,ready
18:37:17,1852073,22782,300076,17564,ready
18:37:22,1852073,22782,300076,17564,ready
18:37:27,1852073,22782,300076,17568,ready
18:37:32,1852073,22782,300076,17568,ready
18:37:37,1852073,22782,300076,17568,ready
18:37:42,1852073,22782,300076,17568,ready
